company,country,product,po_no,ship_date,qty
Jarir Bookstore,SA,ergonomic mesh office chair,PO-SA-24001,2025-11-12,240
Noon.com,SA,gaming chair,PO-SA-24002,2025-11-18,180
Extra Stores,SA,executive leather chair,PO-SA-24003,2025-11-25,120
Home Centre,AE,recliner sofa chair,PO-AE-24004,2025-11-07,60
Sharaf DG,AE,mesh office chair,PO-AE-24005,2025-11-21,150
Amazon KSA,SA,height adjustable standing desk,PO-SA-24006,2025-12-03,80
IKEA UAE,AE,mesh task chair,PO-AE-24007,2025-12-06,200
Carrefour UAE,AE,mesh office chair,PO-AE-24008,2025-12-09,160
Ace Hardware,AE,dual motor standing desk,PO-AE-24009,2025-12-12,40
Wayfair,US,executive office chair,PO-US-24010,2025-10-15,300
Staples,US,ergonomic mesh office chair,PO-US-24011,2025-10-22,420
Office Depot,US,mesh office chair,PO-US-24012,2025-11-02,380
Costco,US,gaming office chair,PO-US-24013,2025-11-19,260
Walmart,US,adjustable standing desk,PO-US-24014,2025-12-01,190
